Date,Time,Group nr.,Total,Lying ad.m,Lying ad.f,Lying y,Lying us,Feed ad.m,Feed ad.f,Feed y,Feed us,Other ad.m,Other ad.f,Other y,Other us,,,,,,,
26-Mar,04:00,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:00,2,5,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:00,3,4,0,2,1,0,0,0,0,0,0,1,0,0,,,,,,,
26-Mar,04:10,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:10,2,5,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:10,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:10,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,2,5,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:30,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:30,2,5,1,2,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,04:30,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:30,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:40,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:40,2,5,0,1,0,0,0,1,1,0,1,1,0,0,,,,,,,
26-Mar,04:40,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:40,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:50,1,2,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,04:50,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,04:50,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:50,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:00,1,2,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,
26-Mar,05:00,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:00,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:00,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:10,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:10,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:10,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:10,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:20,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:20,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:20,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:20,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:30,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:30,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:30,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:30,4,2,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,
25-Mar,05:30,1,5,0,0,0,0,,5,0,0,0,0,0,0,,,,,,,
25-Mar,05:30,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,05:30,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,05:30,4,3,0,0,0,0,0,0,0,2,0,0,0,1,,,,,,,
25-Mar,05:40,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,05:40,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,05:40,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,05:40,4,3,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,
25-Mar,05:50,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,05:50,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,05:50,4,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
25-Mar,06:00,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,06:00,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:10,1,5,0,0,0,0,0,3,0,0,0,2,0,0,,,,,,,
25-Mar,06:10,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,06:10,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:20,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
