Date,Time,Location,HerdID,HerdSize,Sex,Age,Foraging,Ruminating,Resting,Walking,Displaying,Other,Comments
2022-03-20,09:40,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,1,3,99,c,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:40,Bjørndalen,2,6,99,c,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,1,3,99,c,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,09:50,Bjørndalen,2,6,99,c,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,1,3,99,c,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:00,Bjørndalen,2,6,99,c,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,1,3,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,1,3,99,c,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:10,Bjørndalen,2,6,99,c,0,0,1,0,0,0,
2022-03-20,10:20,Bjørndalen,1,3,0,ad,2,0,0,0,0,0,
2022-03-20,10:20,Bjørndalen,1,3,0,ad,2,0,0,0,0,0,
2022-03-20,10:20,Bjørndalen,1,3,99,c,2,0,0,0,0,0,
2022-03-20,10:20,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:20,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:20,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
2022-03-20,10:20,Bjørndalen,2,6,0,ad,0,0,1,0,0,0,
