Name,Station,Time(norwegian mean time),Snow depth,Precipitation (1 h),Air temperature,Mean wind speed
Svalbard Lufthavn,SN99840,18.03.2022 01:00,24.29,0.1,-1.2,13.4
Svalbard Lufthavn,SN99840,18.03.2022 02:00,22.02,0,-1.4,14.8
Svalbard Lufthavn,SN99840,18.03.2022 03:00,17.98,0,-1.4,15.8
Svalbard Lufthavn,SN99840,18.03.2022 04:00,15.97,0,-2.8,16.7
Svalbard Lufthavn,SN99840,18.03.2022 05:00,15.09,0,-3.9,15.2
Svalbard Lufthavn,SN99840,18.03.2022 06:00,15.05,0,-4.1,13.8
Svalbard Lufthavn,SN99840,18.03.2022 07:00,14.94,0,-4.3,11.1
Svalbard Lufthavn,SN99840,18.03.2022 08:00,15.2,0,-4,6.7
Svalbard Lufthavn,SN99840,18.03.2022 09:00,15.73,0,-3.4,6.9
Svalbard Lufthavn,SN99840,18.03.2022 10:00,15.74,0,-3.2,7.4
Svalbard Lufthavn,SN99840,18.03.2022 11:00,15.76,0,-4.6,4.9
Svalbard Lufthavn,SN99840,18.03.2022 12:00,15.77,0,-4.7,1.8
Svalbard Lufthavn,SN99840,18.03.2022 13:00,15.74,0,-5.3,2
Svalbard Lufthavn,SN99840,18.03.2022 14:00,15.74,0,-5,2.3
Svalbard Lufthavn,SN99840,18.03.2022 15:00,15.75,0,-6.2,4.7
Svalbard Lufthavn,SN99840,18.03.2022 16:00,15.74,0,-5.1,6.8
Svalbard Lufthavn,SN99840,18.03.2022 17:00,15.73,0,-5.1,4.4
Svalbard Lufthavn,SN99840,18.03.2022 18:00,15.73,0,-4.1,3.3
Svalbard Lufthavn,SN99840,18.03.2022 19:00,15.72,0,-4.6,3.6
Svalbard Lufthavn,SN99840,18.03.2022 20:00,15.7,0,-1.5,6.8
Svalbard Lufthavn,SN99840,18.03.2022 21:00,15.72,0,-0.5,8.8
Svalbard Lufthavn,SN99840,18.03.2022 22:00,15.38,0,-0.7,9.9
Svalbard Lufthavn,SN99840,18.03.2022 23:00,15.28,0,-1.3,10
Svalbard Lufthavn,SN99840,19.03.2022 00:00,15.86,0,-1.8,5.8
Svalbard Lufthavn,SN99840,19.03.2022 01:00,15.59,0,-0.1,5.4
Svalbard Lufthavn,SN99840,19.03.2022 02:00,15.59,0,-0.8,1.8
Svalbard Lufthavn,SN99840,19.03.2022 03:00,15.59,0,-1.5,4.3
Svalbard Lufthavn,SN99840,19.03.2022 04:00,15.58,0,-2.2,5.9
Svalbard Lufthavn,SN99840,19.03.2022 05:00,15.57,0,-2.3,4.5
Svalbard Lufthavn,SN99840,19.03.2022 06:00,15.58,0,-3.9,4.3
Svalbard Lufthavn,SN99840,19.03.2022 07:00,15.55,0,-2.8,1.5
Svalbard Lufthavn,SN99840,19.03.2022 08:00,15.56,0,-2.8,3.7
Svalbard Lufthavn,SN99840,19.03.2022 09:00,15.54,0,-0.6,5
Svalbard Lufthavn,SN99840,19.03.2022 10:00,15.55,0,-2.2,5
Svalbard Lufthavn,SN99840,19.03.2022 11:00,15.55,0,-2.7,5.5
Svalbard Lufthavn,SN99840,19.03.2022 12:00,15.57,0,-1.6,4.7
Svalbard Lufthavn,SN99840,19.03.2022 13:00,15.55,0,-3.9,3.8
Svalbard Lufthavn,SN99840,19.03.2022 14:00,15.54,0,-4,2.6
Svalbard Lufthavn,SN99840,19.03.2022 15:00,15.54,0,-3.2,1.8
Svalbard Lufthavn,SN99840,19.03.2022 16:00,15.85,0.2,-4,0.8
Svalbard Lufthavn,SN99840,19.03.2022 17:00,16.59,0.4,-4,10.4
Svalbard Lufthavn,SN99840,19.03.2022 18:00,14.62,0,-5,15.1
Svalbard Lufthavn,SN99840,19.03.2022 19:00,13.97,0,-5.5,16.2
Svalbard Lufthavn,SN99840,19.03.2022 20:00,14.11,0,-6.3,14.5
Svalbard Lufthavn,SN99840,19.03.2022 21:00,14.12,0,-6.7,13.4
Svalbard Lufthavn,SN99840,19.03.2022 22:00,15.03,0.1,-7.1,10.2
Svalbard Lufthavn,SN99840,19.03.2022 23:00,14.9,0.1,-7.2,7.7
Svalbard Lufthavn,SN99840,20.03.2022 00:00,15.17,0,-6.9,6.4
Svalbard Lufthavn,SN99840,20.03.2022 01:00,15.17,0,-7.4,6.8
Svalbard Lufthavn,SN99840,20.03.2022 02:00,15.29,0,-7.6,7.6
Svalbard Lufthavn,SN99840,20.03.2022 03:00,15.67,0,-7.4,7.6
Svalbard Lufthavn,SN99840,20.03.2022 04:00,15.81,0,-6.1,6.9
Svalbard Lufthavn,SN99840,20.03.2022 05:00,15.75,0,-5.4,4.4
Svalbard Lufthavn,SN99840,20.03.2022 06:00,15.35,0,-4.5,6.1
Svalbard Lufthavn,SN99840,20.03.2022 07:00,15.06,0,-4.5,9.8
Svalbard Lufthavn,SN99840,20.03.2022 08:00,14.58,0,-4.8,10.6
Svalbard Lufthavn,SN99840,20.03.2022 09:00,14.67,0,-5,6.9
Svalbard Lufthavn,SN99840,20.03.2022 10:00,14.97,0,-5,7.1
Svalbard Lufthavn,SN99840,20.03.2022 11:00,14.89,0,-5.1,6.7
Svalbard Lufthavn,SN99840,20.03.2022 12:00,14.88,0,-5.1,6.4
Svalbard Lufthavn,SN99840,20.03.2022 13:00,15.03,0,-5.2,7.6
Svalbard Lufthavn,SN99840,20.03.2022 14:00,15.34,0,-5.4,5.5
Svalbard Lufthavn,SN99840,20.03.2022 15:00,15.31,0,-5.6,2.4
Svalbard Lufthavn,SN99840,20.03.2022 16:00,15.31,0,-5.4,1.5
Svalbard Lufthavn,SN99840,20.03.2022 17:00,15.32,0,-6,1.2
Svalbard Lufthavn,SN99840,20.03.2022 18:00,15.32,0,-6.3,0
Svalbard Lufthavn,SN99840,20.03.2022 19:00,15.33,0,-6.6,3.5
Svalbard Lufthavn,SN99840,20.03.2022 20:00,15.25,0,-6.4,5.1
Svalbard Lufthavn,SN99840,20.03.2022 21:00,15.04,0,-6,7.8
Svalbard Lufthavn,SN99840,20.03.2022 22:00,14.93,0,-5.7,10.3
Svalbard Lufthavn,SN99840,20.03.2022 23:00,14.97,0,-5.4,8.8
Svalbard Lufthavn,SN99840,21.03.2022 00:00,14.96,0,-5.7,12.5
Svalbard Lufthavn,SN99840,21.03.2022 01:00,16.02,0.1,-5.3,14.9
Svalbard Lufthavn,SN99840,21.03.2022 02:00,18.81,0,-4.9,13.2
Svalbard Lufthavn,SN99840,21.03.2022 03:00,19.23,0,-4.7,16.6
Svalbard Lufthavn,SN99840,21.03.2022 04:00,15.02,0,-4.7,15.1
Svalbard Lufthavn,SN99840,21.03.2022 05:00,15.03,0.1,-4.7,13.7
Svalbard Lufthavn,SN99840,21.03.2022 06:00,14.93,0.1,-3.9,12.4
Svalbard Lufthavn,SN99840,21.03.2022 07:00,14.88,0.1,-3.2,9.9
Svalbard Lufthavn,SN99840,21.03.2022 08:00,14.86,0,-2.7,7.4
